"date","name","amount","status","category","parent category","excluded","tags","type","account","account mask","note","recurring"
"2025-10-21","Chase Credit Crd",714.46,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-21","Shelby Gammon ""go Get A Treat!""",10,"posted","Gifts","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-10-20","Venmo",-22,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-20","Venmo",54,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-20","Venmo",-67,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-20","Merck Wp 53 Cafe",5.8,"pending","Restaurants & Bars","Guilt Free Spending",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-20","Payment Thank You-mobile",-714.46,"posted","",,true,,"internal transfer","Chase Sapphire","6143",,""
"2025-10-20","Marathon",35.02,"posted","Car/Gas","Standard of Living",false,,"regular","Citi®/AAdvantage® Platinum Select® World Elite Mastercard®","9985",,""
"2025-10-19","Whole Foods",24.54,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-19","Apple.com-bill",2.99,"posted","Subscriptions","Standard of Living",false,,"regular","Chase Sapphire","6143",,"Apple Storage"
"2025-10-18","Four Seasons Sky High",66.1,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-18","Wine And Spirits",21.59,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-18","Vibrant Coffee Roa",5.4,"pending","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-18","Osteria Ama Philly",79.88,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-18","Isgro Pastries",15.45,"pending","Gifts","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-17","ATM",22,"posted","Personal Care","Standard of Living",false,,"regular","Usaa Classic Checking","6726",,""
"2025-10-17","Atm Rebate",-3,"posted","Misc",,false,,"regular","Usaa Classic Checking","6726",,""
"2025-10-17","ATM",18,"posted","Restaurants & Bars","Guilt Free Spending",false,,"regular","Usaa Classic Checking","6726",,""
"2025-10-17","Venmo",-50,"posted","",,true,,"internal transfer","Usaa Classic Checking","6726",,""
"2025-10-17","ATM",3,"posted","Misc",,false,,"regular","Usaa Classic Checking","6726",,""
"2025-10-17","Openai *chatgpt Subscr",21.2,"posted","Subscriptions","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-17","Whole Foods",27.98,"posted","Groceries","Standard of Living",false,,"regular","Freedom Unlimited","1093",,""
"2025-10-17","Paulie Gee's Soul",4.75,"pending","Restaurants & Bars","Guilt Free Spending",false,,"regular","Chase Sapphire","6143",,""
"2025-10-17","Cvs",36.2,"posted","Gifts","Guilt Free Spending",false,,"regular","Freedom Flex","2429",,""
"2025-10-17","Erin Cannon ""brunch + Flowers""",-26,"posted","Gifts","Guilt Free Spending",false,,"regular","Personal Profile",,,""
"2025-10-17","Standard",67,"posted","",,true,,"regular","Personal Profile",,,""
