CC_Category,account,account_mask,amount,card_mapped,category,date,excluded,name,note,override_applied,override_card,override_rate,override_reason,parent_category,recurring,status,tags,type,used_rate,effective_card,points_earned,best_cards,best_rate,optimal_points,missed_points,used_best_card
Subscriptions,Freedom Unlimited,1093.0,87.97,Chase Freedom Unlimited,Subscriptions,2025-10-29,False,Youtube Tv,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Youtube Tv,pending,,regular,1.5,Chase Freedom Unlimited,131.95,Chase Freedom Unlimited,1.5,131.95,0.0,True
Gas,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,27.89,Citi AAdvantage Platinum Select,Car/Gas,2025-10-29,False,Royal Farms 132 Lansdale Usa,,False,,,,Standard of Living,,pending,,regular,2.0,Citi AAdvantage Platinum Select,55.78,Citi AAdvantage Platinum Select,2.0,55.78,0.0,True
Other,Freedom Unlimited,1093.0,10.59,Chase Freedom Unlimited,Shops,2025-10-28,False,Steam Games,,False,,,,Guilt Free Spending,,pending,,regular,1.5,Chase Freedom Unlimited,15.88,Chase Freedom Unlimited,1.5,15.88,0.0,True
Dining,Chase Sapphire,6143.0,5.4,Chase Sapphire Preferred,Restaurants & Bars,2025-10-27,False,Vibrant Coffee Roaste,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,16.2,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,16.2,0.0,True
Dining,Chase Sapphire,6143.0,15.45,Chase Sapphire Preferred,Gifts,2025-10-27,False,Isgro Pastries,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,46.35,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,46.35,0.0,True
Groceries,Freedom Unlimited,1093.0,33.44,Chase Freedom Unlimited,Groceries,2025-10-26,False,Acme,,False,,,,Standard of Living,,posted,,regular,1.5,Chase Freedom Unlimited,50.16,Chase Freedom Unlimited,1.5,50.16,0.0,True
Other,Freedom Unlimited,1093.0,31.65,Chase Freedom Unlimited,Shops,2025-10-26,False,Amazon Mktpl*n47ga88c0,,True,Chase Freedom Unlimited,1.5,"Matched override: etsy, amazon, 1-800-flowers, offer:etsy, amazon mktpl",Guilt Free Spending,,posted,,regular,1.5,Chase Freedom Unlimited,47.47,Chase Freedom Unlimited,1.5,47.47,0.0,True
Dining,Chase Sapphire,6143.0,4.75,Chase Sapphire Preferred,Restaurants & Bars,2025-10-26,False,Paulie Gee's Soul Cit,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,14.25,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,14.25,0.0,True
Dining,Chase Sapphire,6143.0,8.5,Chase Sapphire Preferred,Restaurants & Bars,2025-10-26,False,Paulie Gee's Soul Cit,,True,Chase Sapphire Preferred,3.0,"Matched override: isgro pastries, paulie gee, osteria, four seasons, vibrant coffee",Guilt Free Spending,,posted,,regular,3.0,Chase Sapphire Preferred,25.5,"Chase Sapphire Preferred, Chase Freedom Unlimited, Chase Freedom Flex",3.0,25.5,0.0,True
Subscriptions,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,12.71,Citi AAdvantage Platinum Select,Subscriptions,2025-10-26,False,Adobe,,True,Chase Freedom Unlimited,1.5,"Matched override: openai, chatgpt, adobe, youtube.tv, youtube premium, youtube tv, photolounge",Standard of Living,Adobe San Jose Usa,posted,,regular,1.0,Citi AAdvantage Platinum Select,12.71,Chase Freedom Unlimited,1.5,19.07,6.359999999999999,False
