date,name,amount,status,category,parent category,excluded,tags,type,account,account mask,note,recurring,merchant,card_used,best_card,best_rate,points_earned,optimal_used,optimal_points,missed_points
2025-10-20,Merck Wp 53 Cafe,5.8,pending,Restaurants & Bars,Guilt Free Spending,False,,regular,Freedom Unlimited,1093.0,,,Merck Wp 53 Cafe,Freedom Unlimited,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,17.4,True,17.4,0.0
2025-10-20,Payment Thank You-mobile,-714.46,posted,,,True,,internal transfer,Chase Sapphire,6143.0,,,Payment Thank You-mobile,Chase Sapphire,Unmatched,1.0,-714.46,False,-714.46,0.0
2025-10-20,Marathon,35.02,posted,Car/Gas,Standard of Living,False,,regular,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,9985.0,,,Marathon,Citi®/AAdvantage® Platinum Select® World Elite Mastercard®,CitiÂ®/AAdvantageÂ® Platinum SelectÂ® World Elite MastercardÂ®,2.0,70.04,True,70.04,0.0
2025-10-19,Whole Foods,24.54,posted,Groceries,Standard of Living,False,,regular,Freedom Unlimited,1093.0,,,Whole Foods,Freedom Unlimited,Freedom Unlimited,1.5,36.81,True,36.81,0.0
2025-10-19,Apple.com-bill,2.99,posted,Subscriptions,Standard of Living,False,,regular,Chase Sapphire,6143.0,,Apple Storage,Apple.com-bill,Chase Sapphire,Chase Sapphire,3.0,8.97,True,8.97,0.0
2025-10-18,Four Seasons Sky High,66.1,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Four Seasons Sky High,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,198.3,True,198.3,0.0
2025-10-18,Wine And Spirits,21.59,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Wine And Spirits,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,64.77,True,64.77,0.0
2025-10-18,Vibrant Coffee Roa,5.4,pending,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Vibrant Coffee Roa,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,16.2,True,16.2,0.0
2025-10-18,Osteria Ama Philly,79.88,posted,Restaurants & Bars,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Osteria Ama Philly,Chase Sapphire,"Chase Sapphire, Freedom Unlimited, Freedom Flex",3.0,239.64,True,239.64,0.0
2025-10-18,Isgro Pastries,15.45,pending,Gifts,Guilt Free Spending,False,,regular,Chase Sapphire,6143.0,,,Isgro Pastries,Chase Sapphire,Unmatched,1.0,15.45,False,15.45,0.0
